Stufe;Versorger;Tarif;Tarif-ID;Sparte;Typ;Verbrauch von;Verbrauch bis;gültig von;gültig bis;Provision in Euro;Provision in Euro je kWh;Folgeprovision in Euro;Folgeprovision in Euro je kWh;Sonderprovision
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;500001;1000000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;500001;1000000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;1000001;10000000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;1000001;10000000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;50001;60000;2024-03-01;2999-09-30;;;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;50001;60000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;20000;40000;2025-04-01;2999-09-30;;0.01500000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;20000;40000;2025-04-01;2999-09-30;;;;0.01500000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;40001;50000;2025-04-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;40001;50000;2025-04-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;50001;60000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;50001;60000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;60001;100000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;60001;100000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;100001;300000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;100001;300000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;300001;500000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;300001;500000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;500001;1000000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;500001;1000000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;1000001;10000000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom RLM 12;9339;Strom;Gewerbekunde;1000001;10000000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;20000;40000;2025-04-01;2999-09-30;;0.01500000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;20000;40000;2025-04-01;2999-09-30;;;;0.01500000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;40001;50000;2025-04-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;40001;50000;2025-04-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;50001;60000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;50001;60000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;60001;100000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;60001;100000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;100001;300000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;100001;300000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;300001;500000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Strom SLP 12;9340;Strom;Gewerbekunde;300001;500000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort;15906;Gas;Privatkunde;5001;12000;2025-04-04;2999-08-31;66.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort;15906;Gas;Privatkunde;12001;18000;2025-04-04;2999-08-31;114.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort;15906;Gas;Privatkunde;18001;100000;2025-04-04;2999-08-31;144.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort;15907;Gas;Gewerbekunde;5001;12000;2025-04-04;2999-08-31;66.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort;15907;Gas;Gewerbekunde;12001;18000;2025-04-04;2999-08-31;114.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort;15907;Gas;Gewerbekunde;18001;100000;2025-04-04;2999-08-31;144.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort 12;17565;Gas;Privatkunde;5001;12000;2025-04-05;2999-08-31;66.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort 12;17565;Gas;Privatkunde;12001;42000;2025-04-05;2999-08-31;85.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort 12;17565;Gas;Privatkunde;42001;100000;2025-04-05;2999-08-31;104.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort 12;17566;Gas;Gewerbekunde;5001;12000;2025-04-05;2999-08-31;66.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort 12;17566;Gas;Gewerbekunde;12001;42000;2025-04-05;2999-08-31;85.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einserdgas Komfort 12;17566;Gas;Gewerbekunde;42001;100000;2025-04-05;2999-08-31;104.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einsstrom Komfort Klassik;14855;Strom;Privatkunde;1001;2500;2025-04-05;2999-03-31;85.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einsstrom Komfort Klassik;14855;Strom;Privatkunde;2501;4000;2025-04-05;2999-03-31;110.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einsstrom Komfort Klassik;14855;Strom;Privatkunde;4001;10000;2025-04-05;2999-03-31;129.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einsstrom Komfort Klassik;15245;Strom;Gewerbekunde;1001;2500;2025-04-04;2999-03-31;85.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einsstrom Komfort Klassik;15245;Strom;Gewerbekunde;2501;4000;2025-04-04;2999-03-31;110.00;;;;
Stufe 21;eins energie in sachsen GmbH & Co. KG;einsstrom Komfort Klassik;15245;Strom;Gewerbekunde;4001;10000;2025-04-04;2999-03-31;129.00;;;;
Stufe 21;Elli;Volkswagen Naturstrom Komfort 12;16627;Strom;Privatkunde;1;100000;2026-01-28;2999-06-30;82.00;;;;
Stufe 21;Elli;Volkswagen Naturstrom Komfort 12;16627;Strom;Privatkunde;0;0;2026-02-17;2026-03-31;;;;;40.00 on Top 
Stufe 21;Elli;Volkswagen Naturstrom Komfort 24;16628;Strom;Privatkunde;1;100000;2026-01-28;2999-06-30;110.00;;;;
Stufe 21;Elli;Volkswagen Naturstrom Komfort 24;16628;Strom;Privatkunde;0;0;2026-02-17;2026-03-31;;;;;40.00 on Top 
Stufe 21;Elli;Volkswagen Naturstrom Pur 12;19829;Strom;Privatkunde;1;100000;2026-03-01;2999-06-30;36.00;;;;
Stufe 21;Elli;Volkswagen Naturstrom Pur 24;19830;Strom;Privatkunde;1;100000;2026-03-01;2999-06-30;54.00;;;;
Stufe 21;Elli;Volkswagen Naturstrom Vario 12;18124;Strom;Privatkunde;1;100000;2025-11-21;2999-06-30;82.00;;;;
Stufe 21;Emscher Lippe Energie GmbH;ELE erdgasFair;16697;Gas;Privatkunde;5000;75000;2026-03-01;2999-10-31;110.00;;;;
Stufe 21;Emscher Lippe Energie GmbH;ELE stromFair;16698;Strom;Privatkunde;1000;50000;2026-03-01;2999-10-31;87.00;;;;
Stufe 21;Emscher Lippe Energie GmbH;ELE stromFair Gewerbe mit Bonus;9519;Strom;Gewerbekunde;1000;50000;2026-03-01;2999-10-31;110.00;;;;
Stufe 21;Emscher Lippe Energie GmbH;ELE stromFair K5;19750;Strom;Privatkunde;1000;50000;2026-02-01;2999-10-31;110.00;;;;
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;1;4000;2026-01-01;2999-03-31;86.00;;;;
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;4001;12500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;12501;21250;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;21251;27500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;27501;200000;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;4001;12500;2026-03-02;2026-04-28;;;;;15.00 on Top 
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;12501;21250;2026-03-02;2026-04-28;;;;;35.00 on Top 
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;21251;27500;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Gas;19597;Gas;Gewerbekunde;27501;200000;2026-03-02;2026-04-28;;;;;75.00 on Top 
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;1;4000;2026-01-01;2999-03-31;86.00;;;;
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;4001;12500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;12501;21250;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;21251;27500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;27501;200000;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;4001;12500;2026-03-02;2026-04-28;;;;;15.00 on Top 
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;12501;21250;2026-03-02;2026-04-28;;;;;35.00 on Top 
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;21251;27500;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Gas;11921;Gas;Privatkunde;27501;200000;2026-03-02;2026-04-28;;;;;75.00 on Top 
Stufe 21;Enercity;Enercity Gas PLZ;18595;Gas;Privatkunde;1;4000;2026-01-01;2999-03-31;86.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;18595;Gas;Privatkunde;4001;12500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;18595;Gas;Privatkunde;12501;21250;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;18595;Gas;Privatkunde;21251;27500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;18595;Gas;Privatkunde;27501;200000;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;19642;Gas;Gewerbekunde;1;4000;2026-01-01;2999-03-31;86.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;19642;Gas;Gewerbekunde;4001;12500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;19642;Gas;Gewerbekunde;12501;21250;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;19642;Gas;Gewerbekunde;21251;27500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas PLZ;19642;Gas;Gewerbekunde;27501;200000;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;1;4000;2026-01-01;2999-03-31;86.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;4001;12500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;12501;21250;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;21251;27500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;27501;200000;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;12501;21250;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;4001;12500;2026-03-02;2026-04-28;;;;;25.00 on Top 
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;21251;27500;2026-03-02;2026-04-28;;;;;85.00 on Top 
Stufe 21;Enercity;Enercity Gas XL;19593;Gas;Privatkunde;27501;200000;2026-03-02;2026-04-28;;;;;115.00 on Top 
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;1;4000;2026-01-01;2999-03-31;86.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;4001;12500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;12501;21250;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;21251;27500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;27501;200000;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;12501;21250;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;4001;12500;2026-03-02;2026-04-28;;;;;25.00 on Top 
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;21251;27500;2026-03-02;2026-04-28;;;;;85.00 on Top 
Stufe 21;Enercity;Enercity Gas XL;19595;Gas;Gewerbekunde;27501;200000;2026-03-02;2026-04-28;;;;;115.00 on Top 
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;1;4000;2026-01-01;2999-03-31;86.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;4001;12500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;12501;21250;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;21251;27500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;27501;200000;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;12501;21250;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;4001;12500;2026-03-02;2026-04-28;;;;;25.00 on Top 
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;21251;27500;2026-03-02;2026-04-28;;;;;85.00 on Top 
Stufe 21;Enercity;Enercity Gas XL PLZ;19609;Gas;Privatkunde;27501;200000;2026-03-02;2026-04-28;;;;;115.00 on Top 
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;1;4000;2026-01-01;2999-03-31;86.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;4001;12500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;12501;21250;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;21251;27500;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;27501;200000;2026-01-01;2999-03-31;81.00;;;;
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;12501;21250;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;4001;12500;2026-03-02;2026-04-28;;;;;25.00 on Top 
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;21251;27500;2026-03-02;2026-04-28;;;;;85.00 on Top 
Stufe 21;Enercity;Enercity Gas XL PLZ;19644;Gas;Gewerbekunde;27501;200000;2026-03-02;2026-04-28;;;;;115.00 on Top 
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;1;499;2026-01-01;2999-03-31;67.00;;;;
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;500;2250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;2251;4750;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;4751;7250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;7251;30000;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;500;2250;2026-03-02;2026-04-28;;;;;15.00 on Top 
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;2251;4750;2026-03-02;2026-04-28;;;;;35.00 on Top 
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;4751;7250;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Strom;11588;Strom;Privatkunde;7251;30000;2026-03-02;2026-04-28;;;;;75.00 on Top 
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;1;499;2026-01-01;2999-03-31;67.00;;;;
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;500;2250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;2251;4750;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;4751;7250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;7251;30000;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;500;2250;2026-03-02;2026-04-28;;;;;15.00 on Top 
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;2251;4750;2026-03-02;2026-04-28;;;;;35.00 on Top 
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;4751;7250;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Strom;19596;Strom;Gewerbekunde;7251;30000;2026-03-02;2026-04-28;;;;;75.00 on Top 
Stufe 21;Enercity;Enercity Strom PLZ;18594;Strom;Privatkunde;1;499;2026-01-01;2999-03-31;67.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;18594;Strom;Privatkunde;500;2250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;18594;Strom;Privatkunde;2251;4750;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;18594;Strom;Privatkunde;4751;7250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;18594;Strom;Privatkunde;7251;30000;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;19641;Strom;Gewerbekunde;1;499;2026-01-01;2999-03-31;67.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;19641;Strom;Gewerbekunde;500;2250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;19641;Strom;Gewerbekunde;2251;4750;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;19641;Strom;Gewerbekunde;4751;7250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom PLZ;19641;Strom;Gewerbekunde;7251;30000;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;1;499;2026-01-01;2999-03-31;67.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;500;2250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;2251;4750;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;4751;7250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;7251;30000;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;2251;4750;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;500;2250;2026-03-02;2026-04-28;;;;;25.00 on Top 
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;4751;7250;2026-03-02;2026-04-28;;;;;85.00 on Top 
Stufe 21;Enercity;Enercity Strom XL;19592;Strom;Privatkunde;7251;30000;2026-03-02;2026-04-28;;;;;115.00 on Top 
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;1;499;2026-01-01;2999-03-31;67.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;500;2250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;2251;4750;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;4751;7250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;7251;30000;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;2251;4750;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;500;2250;2026-03-02;2026-04-28;;;;;25.00 on Top 
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;4751;7250;2026-03-02;2026-04-28;;;;;85.00 on Top 
Stufe 21;Enercity;Enercity Strom XL;19594;Strom;Gewerbekunde;7251;30000;2026-03-02;2026-04-28;;;;;115.00 on Top 
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;1;499;2026-01-01;2999-03-31;67.00;;;;
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;500;2250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;2251;4750;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;4751;7250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;7251;30000;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;2251;4750;2026-03-02;2026-04-28;;;;;55.00 on Top 
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;500;2250;2026-03-02;2026-04-28;;;;;25.00 on Top 
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;4751;7250;2026-03-02;2026-04-28;;;;;85.00 on Top 
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;7251;30000;2026-03-02;2026-04-28;;;;;115.00 on Top 
Stufe 21;Enercity;Enercity Strom XL PLZ;19608;Strom;Privatkunde;0;0;2026-03-02;2026-04-28;;;;;70.00 on Top 
Stufe 21;Enercity;Enercity Strom XL PLZ;19643;Strom;Gewerbekunde;1;499;2026-01-01;2999-03-31;67.00;;;;
Stufe 21;Enercity;Enercity Strom XL PLZ;19643;Strom;Gewerbekunde;500;2250;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL PLZ;19643;Strom;Gewerbekunde;2251;4750;2026-01-01;2999-03-31;62.00;;;;
Stufe 21;Enercity;Enercity Strom XL PLZ;19643;Strom;Gewerbekunde;4751;7250;2026-01-01;2999-03-31;62.00;;;;
